FREQ-GHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 3.73000   -1.547   25.051
 3.74000   -1.534   23.543
 3.75000   -1.521   22.085
 3.76000   -1.509   20.674
 3.77000   -1.498   19.305
 3.78000   -1.487   17.977
 3.79000   -1.476   16.685
 3.80000   -1.467   15.429
 3.81000   -1.458   14.205
 3.82000   -1.449   13.014
 3.83000   -1.442   11.854
 3.84000   -1.435   10.726
 3.85000   -1.428    9.633
 3.86000   -1.423    8.579
 3.87000   -1.418    7.571
 3.88000   -1.414    6.624
 3.89000   -1.411    5.758
 3.90000   -1.408    5.010
 3.91000   -1.406    4.433
 3.92000   -1.405    4.097
 3.93000   -1.405    4.058
 3.94000   -1.406    4.326
 3.95000   -1.407    4.851
 3.96000   -1.410    5.563
 3.97000   -1.413    6.404
 3.98000   -1.417    7.334
 3.99000   -1.422    8.329
 4.00000   -1.428    9.372

