FREQ-MHZ	DB[S11]	MAG[Z1]		3.00E+08	83.8227 	0.3	4.022
0.44	-1.491	42.876		8.00E+08	80.8575 	0.8	12.02
0.45	-1.453	44.574		8.13E+08	81.7831 	0.813	12.404
0.46	-1.422	46.336		8.27E+08	82.3950 	0.827	12.797
0.47	-1.398	48.168		8.40E+08	82.5212 	0.84	13.199
0.48	-1.379	50.074		8.54E+08	83.4532 	0.854	13.609
0.49	-1.365	52.058		8.67E+08	85.0171 	0.867	14.027
0.5	-1.356	54.128		8.81E+08	86.2727 	0.881	14.452
0.51	-1.35	56.29		8.94E+08	87.1546 	0.894	14.885
0.52	-1.348	58.553		9.08E+08	87.2809 	0.908	15.325
0.53	-1.349	60.926		9.21E+08	86.6325 	0.921	15.773
0.54	-1.354	63.419		9.35E+08	85.1877 	0.935	16.229
0.55	-1.361	66.045		9.48E+08	84.8049 	0.948	16.693
0.56	-1.371	68.815		9.62E+08	83.4223 	0.962	17.165
0.57	-1.384	71.745		9.75E+08	82.2044 	0.975	17.646
0.58	-1.399	74.852		9.89E+08	80.7833 	0.989	18.136
0.59	-1.417	78.155		1.00E+09	78.9991 	1	18.636
0.6	-1.437	81.675		1.02E+09	76.9139 	1.02	19.146
0.61	-1.46	85.439		1.03E+09	74.3333 	1.03	19.666
0.62	-1.486	89.474		1.04E+09	71.8701 	1.04	20.198
0.63	-1.513	93.814		1.06E+09	69.7624 	1.06	20.742
0.64	-1.544	98.497		1.07E+09	67.4718 	1.07	21.298
0.65	-1.577	103.567		1.08E+09	65.2759 	1.08	21.866
0.66	-1.612	109.075		1.10E+09	62.9678 	1.10 	22.449
0.67	-1.65	115.08		1.11E+09	60.6788 	1.11 	23.046
0.68	-1.691	121.653		1.12E+09	58.3971 	1.12 	23.658
0.69	-1.735	128.873		1.14E+09	56.1446 	1.14 	24.286
0.7	-1.782	136.833		1.15E+09	54.1369 	1.15 	24.931
0.71	-1.831	145.638		1.16E+09	52.1275 	1.16 	25.593
0.72	-1.884	155.407		1.18E+09	50.2578 	1.18 	26.274
0.73	-1.941	166.269		1.19E+09	48.3590 	1.19 	26.975
0.74	-2	178.355		1.20E+09	46.5538 	1.20 	27.696
0.75	-2.064	191.785		1.22E+09	44.8898 	1.22 	28.439
0.76	-2.131	206.634		1.23E+09	43.4130 	1.23 	29.205
0.77	-2.203	222.88		1.25E+09	42.2968 	1.25 	29.994
0.78	-2.279	240.307		1.26E+09	41.2947 	1.26 	30.809
0.79	-2.359	258.376		1.27E+09	40.4715 	1.27 	31.65
0.8	-2.444	276.054		1.29E+09	39.8822 	1.29 	32.518
0.81	-2.534	291.713		1.30E+09	39.3470 	1.30 	33.415
0.82	-2.63	303.237		1.31E+09	39.4321 	1.31 	34.343
0.83	-2.731	308.529		1.33E+09	39.4843 	1.33 	35.301
0.84	-2.839	306.335		1.34E+09	40.4762 	1.34 	36.291
0.85	-2.953	296.882		1.35E+09	41.8783 	1.35 	37.315
0.86	-3.074	281.777		1.37E+09	43.4872 	1.37 	38.374
0.87	-3.202	263.27		1.38E+09	45.2764 	1.38 	39.467
0.88	-3.338	243.446		1.39E+09	47.1821 	1.39 	40.596
0.89	-3.483	223.813		1.41E+09	49.3009 	1.41 	41.76
0.9	-3.636	205.261		1.42E+09	51.7602 	1.42 	42.96
0.91	-3.799	188.213		1.43E+09	54.7854 	1.43 	44.195
0.92	-3.973	172.793		1.45E+09	58.8250 	1.45 	45.463
0.93	-4.157	158.961		1.46E+09	63.4960 	1.46 	46.762
0.94	-4.353	146.595		1.47E+09	68.7103 	1.47 	48.088
0.95	-4.561	135.548		1.49E+09	74.0916 	1.49 	49.437
0.96	-4.783	125.667		1.50E+09	79.5024 	1.50 	50.802
0.97	-5.019	116.811		1.52E+09	85.5003 	1.52 	52.176
0.98	-5.271	108.852		1.53E+09	92.4532 	1.53 	53.548
0.99	-5.539	101.682		1.54E+09	101.0049 	1.54 	54.905
1	-5.825	95.203		1.56E+09	112.3380 	1.56 	56.233
1.01	-6.131	89.338		1.57E+09	125.1545 	1.57 	57.515
1.02	-6.457	84.016		1.58E+09	140.3649 	1.58 	58.73
1.03	-6.806	79.182		1.60E+09	156.3445 	1.60 	59.856
1.04	-7.179	74.787		1.61E+09	173.7658 	1.61 	60.87
1.05	-7.579	70.793		1.62E+09	194.8958 	1.62 	61.746
1.06	-8.009	67.167		1.64E+09	221.8349 	1.64 	62.459
1.07	-8.47	63.883		1.65E+09	254.6512 	1.65 	62.988
1.08	-8.966	60.92		1.66E+09	294.5038 	1.66 	63.311
1.09	-9.501	58.261		1.68E+09	332.8039 	1.68 	63.413
1.1	-10.08	55.893		1.69E+09	358.1276 	1.69 	63.285
1.11	-10.708	53.807		1.70E+09	372.0614 	1.70 	62.924
1.12	-11.391	51.996		1.72E+09	352.3026 	1.72 	62.334
1.13	-12.139	50.455		1.73E+09	317.2576 	1.73 	61.528
1.14	-12.961	49.18		1.74E+09	279.2126 	1.74 	60.521
1.15	-13.871	48.169		1.76E+09	239.1049 	1.76 	59.338
1.16	-14.887	47.419		1.77E+09	207.1538 	1.77 	58.004
1.17	-16.035	46.927		1.79E+09	183.1860 	1.79 	56.548
1.18	-17.35	46.689		1.80E+09	163.6700 	1.80 	54.997
1.19	-18.887	46.7		1.81E+09	147.9641 	1.81 	53.379
1.2	-20.732	46.954		1.83E+09	133.3437 	1.83 	51.719
1.21	-23.04	47.444		1.84E+09	121.2192 	1.84 	50.04
1.22	-26.117	48.162		1.85E+09	109.9711 	1.85 	48.362
1.23	-30.709	49.096		1.87E+09	100.6451 	1.87 	46.701
1.24	-38.736	50.236		1.88E+09	92.2501 	1.88 	45.071
1.25	-36.035	51.571		1.89E+09	85.6020 	1.89 	43.484
1.26	-29.427	53.088		1.91E+09	79.5181 	1.91 	41.949
1.27	-25.604	54.772		1.92E+09	73.6605 	1.92 	40.471
1.28	-22.993	56.611		1.93E+09	68.1146 	1.93 	39.057
1.29	-21.032	58.588		1.95E+09	63.0703 	1.95 	37.71
1.3	-19.476	60.687		1.96E+09	58.5169 	1.96 	36.433
1.31	-18.196	62.887		1.97E+09	54.8515 	1.97 	35.227
1.32	-17.116	65.169		1.99E+09	51.4333 	1.99 	34.092
1.33	-16.188	67.507		2.00E+09	48.3008 	2.00 	33.03
1.34	-15.381	69.876		2.01E+09	45.0144 	2.01 	32.041
1.35	-14.67	72.243		2.03E+09	41.6233 	2.03 	31.123
1.36	-14.039	74.574		2.04E+09	38.2268 	2.04 	30.277
