FREQ-GHZ  MAG[Z1]  DB[S11]  MAG[Z1]  DB[S11]
           EXP312   EXP312   EXP314   EXP314
 
 2.49000   32.584  -13.441   41.703  -16.595
 2.50000   32.638  -13.481   41.270  -16.295
 2.51000   32.688  -13.519   40.834  -16.010
 2.52000   32.735  -13.555   40.395  -15.738
 2.53000   32.778  -13.588   39.956  -15.478
 2.54000   32.817  -13.618   39.516  -15.231
 2.55000   32.852  -13.646   39.077  -14.994
 2.56000   32.883  -13.671   38.639  -14.769
 2.57000   32.909  -13.693   38.204  -14.553
 2.58000   32.932  -13.712   37.771  -14.347
 2.59000   32.951  -13.728   37.341  -14.149
 2.60000   32.966  -13.741   36.916  -13.961
 2.61000   32.976  -13.750   36.496  -13.780
 2.62000   32.982  -13.757   36.081  -13.607
 2.63000   32.984  -13.760   35.671  -13.442
 2.64000   32.982  -13.760   35.268  -13.284
 2.65000   32.975  -13.757   34.873  -13.133
 2.66000   32.965  -13.751   34.484  -12.988
 2.67000   32.950  -13.741   34.103  -12.850
 2.68000   32.931  -13.729   33.731  -12.719
 2.69000   32.908  -13.713   33.368  -12.593
 2.70000   32.881  -13.694   33.013  -12.472
 2.71000   32.849  -13.672   32.668  -12.358
 2.72000   32.814  -13.648   32.333  -12.249
 2.73000   32.775  -13.621   32.008  -12.145
 2.74000   32.733  -13.590   31.694  -12.046
 2.75000   32.686  -13.558   31.390  -11.952
 2.76000   32.636  -13.523   31.098  -11.863
 2.77000   32.582  -13.485   30.817  -11.779
 2.78000   32.525  -13.445   30.548  -11.699
 2.79000   32.464  -13.403   30.291  -11.624
 2.80000   32.400  -13.359   30.046  -11.553
 2.81000   32.333  -13.314   29.814  -11.487
 2.82000   32.263  -13.266   29.594  -11.424
 2.83000   32.190  -13.217   29.387  -11.366
 2.84000   32.114  -13.167   29.193  -11.312
 2.85000   32.035  -13.115   29.013  -11.263
 2.86000   31.954  -13.062   28.846  -11.217
 2.87000   31.870  -13.007   28.692  -11.174
 2.88000   31.784  -12.952   28.553  -11.136
 2.89000   31.696  -12.896   28.427  -11.102
 2.90000   31.606  -12.839   28.316  -11.071
 2.91000   31.514  -12.782   28.218  -11.044
 2.92000   31.420  -12.724   28.135  -11.021
 2.93000   31.325  -12.666   28.066  -11.002
 2.94000   31.228  -12.608   28.012  -10.986
 2.95000   31.130  -12.549   27.972  -10.974
 2.96000   31.030  -12.491   27.946  -10.965
 2.97000   30.930  -12.432   27.935  -10.961
 2.98000   30.829  -12.374   27.939  -10.959
 2.99000   30.727  -12.315   27.957  -10.962
 3.00000   30.624  -12.257   27.990  -10.968

