FREQ-GHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
3.21	-1.549	81.332
3.22	-1.575	87.319
3.23	-1.601	94.053
3.24	-1.627	101.69
3.25	-1.652	110.432
3.26	-1.677	120.541
3.27	-1.701	132.364
3.28	-1.725	146.367
3.29	-1.748	163.184
3.3	-1.77	183.682
3.31	-1.791	209.043
3.32	-1.811	240.831
3.33	-1.829	280.874
3.34	-1.846	330.461
3.35	-1.862	387.406
3.36	-1.876	439.486
3.37	-1.888	461.707
3.38	-1.899	438.498
3.39	-1.908	386.053
3.4	-1.915	329.199
3.41	-1.92	279.838
3.42	-1.924	240.011
3.43	-1.926	208.397
3.44	-1.926	183.168
3.45	-1.924	162.77
3.46	-1.921	146.029
3.47	-1.916	132.084
3.48	-1.909	120.307
3.49	-1.902	110.235
3.5	-1.892	101.522
3.51	-1.882	93.909
3.52	-1.871	87.195
3.53	-1.858	81.224
3.54	-1.845	75.875
3.55	-1.831	71.05
3.56	-1.816	66.671
3.57	-1.801	62.673
3.58	-1.785	59.005
3.59	-1.769	55.622
3.6	-1.753	52.489
3.61	-1.736	49.575
3.62	-1.719	46.854
3.63	-1.703	44.304
3.64	-1.686	41.906
3.65	-1.669	39.644
3.66	-1.653	37.503
3.67	-1.637	35.472
3.68	-1.621	33.539
3.69	-1.606	31.694
3.7	-1.59	29.93
3.71	-1.576	28.24
3.72	-1.561	26.615
3.73	-1.547	25.051
3.74	-1.534	23.543
3.75	-1.521	22.085
3.76	-1.509	20.674
3.77	-1.498	19.305
3.78	-1.487	17.977
3.79	-1.476	16.685
3.8	-1.467	15.429
3.81	-1.458	14.205
3.82	-1.449	13.014
3.83	-1.442	11.854
3.84	-1.435	10.726
3.85	-1.428	9.633
3.86	-1.423	8.579
3.87	-1.418	7.571
3.88	-1.414	6.624
3.89	-1.411	5.758
3.9	-1.408	5.01
3.91	-1.406	4.433
3.92	-1.405	4.097
3.93	-1.405	4.058
3.94	-1.406	4.326
3.95	-1.407	4.851
3.96	-1.41	5.563
3.97	-1.413	6.404
3.98	-1.417	7.334
3.99	-1.422	8.329
4	-1.428	9.372
